TIME_PERIOD;MEDIDAS;TERRITORIO;ACTIVIDAD_ECONOMICA;OBSERVACIONES
03/2012;Empresa inscrita en la Seguridad Social;La Palma;"Actividades cinematográficas, de vídeo y de programas de televisión, grabación de sonido y edición musical; actividades de programación y emisión de radio y televisión";5
03/2012;Empresa inscrita en la Seguridad Social;La Palma;Fabricación de otros productos minerales no metálicos;9
03/2012;Empresa inscrita en la Seguridad Social;La Palma;Actividades relacionadas con el empleo;0
03/2012;Empresa inscrita en la Seguridad Social;La Palma;Actividades sanitarias;51
03/2012;Empresa inscrita en la Seguridad Social;La Palma;Industria de la alimentación, bebidas y tabaco;69
03/2012;Empresa inscrita en la Seguridad Social;La Palma;Fabricación de maquinaria y equipo n.c.o.p.;1
03/2012;Empresa inscrita en la Seguridad Social;La Palma;Comercio al por menor, excepto de vehículos de motor y motocicletas;461
03/2012;Empresa inscrita en la Seguridad Social;La Palma;"Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones";0
03/2012;Empresa inscrita en la Seguridad Social;La Palma;Actividades de agencias de viajes, operadores turísticos, servicios de reservas y actividades relacionadas con los mismos;11
03/2012;Empresa inscrita en la Seguridad Social;La Palma;Reparación de ordenadores, efectos personales y artículos de uso doméstico;7
03/2012;Empresa inscrita en la Seguridad Social;La Palma;Transporte aéreo;0
03/2012;Empresa inscrita en la Seguridad Social;La Palma;Telecomunicaciones;3
03/2012;Empresa inscrita en la Seguridad Social;La Palma;"Recogida y tratamiento de aguas residuales; recogida, tratamiento y eliminación de residuos; valorización; actividades de descontaminación y otros servicios de gestión de residuos";2
03/2012;Empresa inscrita en la Seguridad Social;La Palma;Fabricación de otro material de transporte;0
03/2012;Empresa inscrita en la Seguridad Social;La Palma;Edición;4
03/2012;Empresa inscrita en la Seguridad Social;La Palma;Industria textil, confección de prendas de vestir, industria del cuero y del calzado;2
03/2012;Empresa inscrita en la Seguridad Social;La Palma;Investigación y desarrollo;7
03/2012;Empresa inscrita en la Seguridad Social;La Palma;Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas;80
03/2012;Empresa inscrita en la Seguridad Social;La Palma;Coquerías y refino de petróleo;0
03/2012;Empresa inscrita en la Seguridad Social;La Palma;Agricultura, ganadería, caza y servicios relacionados con las mismas;232
03/2012;Empresa inscrita en la Seguridad Social;La Palma;Actividades postales y de correos;2
03/2012;Empresa inscrita en la Seguridad Social;La Palma;Actividades inmobiliarias;36
03/2012;Empresa inscrita en la Seguridad Social;La Palma;Transporte terrestre y por tubería;127
03/2012;Empresa inscrita en la Seguridad Social;La Palma;Industrias extractivas;6
03/2012;Empresa inscrita en la Seguridad Social;La Palma;Fabricación de productos farmacéuticos;0
03/2012;Empresa inscrita en la Seguridad Social;La Palma;Construcción;237
03/2012;Empresa inscrita en la Seguridad Social;La Palma;Seguros, reaseguros y fondos de pensiones, excepto Seguridad Social obligatoria;2
03/2012;Empresa inscrita en la Seguridad Social;La Palma;Industria química;1
03/2012;Empresa inscrita en la Seguridad Social;La Palma;Construcción;237
03/2012;Empresa inscrita en la Seguridad Social;La Palma;Fabricación de productos metálicos, excepto maquinaria y equipo;14
03/2012;Empresa inscrita en la Seguridad Social;La Palma;"Actividades jurídicas y de contabilidad; actividades de las sedes centrales; actividades de consultoría de gestión empresarial";81
03/2012;Empresa inscrita en la Seguridad Social;La Palma;Hostelería;410
03/2012;Empresa inscrita en la Seguridad Social;La Palma;Artes gráficas y reproducción de soportes grabados;8
03/2012;Empresa inscrita en la Seguridad Social;La Palma;Actividades de servicios sociales;12
03/2012;Empresa inscrita en la Seguridad Social;La Palma;"Servicios técnicos de arquitectura e ingeniería; ensayos y análisis técnicos";23
03/2012;Empresa inscrita en la Seguridad Social;La Palma;Fabricación de productos informáticos, electrónicos y ópticos;0
03/2012;Empresa inscrita en la Seguridad Social;La Palma;Total;2555
03/2012;Empresa inscrita en la Seguridad Social;La Palma;Educación;34
03/2012;Empresa inscrita en la Seguridad Social;La Palma;Venta y reparación de vehículos de motor y motocicletas;89
