TIME_PERIOD;SEXO;EDAD;MEDIDAS;TERRITORIO;OBSERVACIONES
1999;Hombres;Menor de 1 año;Defunciones;Lanzarote;1
1999;Hombres;Menor de 1 año;Defunciones;La Palma;0
1999;Hombres;Menor de 1 año;Defunciones;La Gomera;1
1999;Hombres;Menor de 1 año;Defunciones;Gran Canaria;21
1999;Hombres;Menor de 1 año;Defunciones;Fuerteventura;1
1999;Hombres;Menor de 1 año;Defunciones;El Hierro;0
1999;Hombres;Menor de 1 año;Defunciones;Canarias;43
1999;Hombres;95 años o más;Defunciones;Tenerife;36
1999;Hombres;95 años o más;Defunciones;Lanzarote;5
1999;Hombres;95 años o más;Defunciones;La Palma;7
1999;Hombres;95 años o más;Defunciones;La Gomera;1
1999;Hombres;95 años o más;Defunciones;Gran Canaria;35
1999;Hombres;95 años o más;Defunciones;Fuerteventura;1
1999;Hombres;95 años o más;Defunciones;El Hierro;0
1999;Hombres;95 años o más;Defunciones;Canarias;85
1999;Hombres;De 85 a 94 años;Defunciones;Tenerife;424
1999;Hombres;De 85 a 94 años;Defunciones;Lanzarote;45
1999;Hombres;De 85 a 94 años;Defunciones;La Palma;93
1999;Hombres;De 85 a 94 años;Defunciones;La Gomera;16
1999;Hombres;De 85 a 94 años;Defunciones;Gran Canaria;408
1999;Hombres;De 85 a 94 años;Defunciones;Fuerteventura;18
1999;Hombres;De 85 a 94 años;Defunciones;El Hierro;8
1999;Hombres;De 85 a 94 años;Defunciones;Canarias;1012
1999;Hombres;De 75 a 84 años;Defunciones;Tenerife;746
1999;Hombres;De 75 a 84 años;Defunciones;Lanzarote;73
1999;Hombres;De 75 a 84 años;Defunciones;La Palma;132
1999;Hombres;De 75 a 84 años;Defunciones;La Gomera;25
1999;Hombres;De 75 a 84 años;Defunciones;Gran Canaria;771
1999;Hombres;De 75 a 84 años;Defunciones;Fuerteventura;33
1999;Hombres;De 75 a 84 años;Defunciones;El Hierro;17
1999;Hombres;De 75 a 84 años;Defunciones;Canarias;1797
1999;Hombres;De 65 a 74 años;Defunciones;Tenerife;623
1999;Hombres;De 65 a 74 años;Defunciones;Lanzarote;61
1999;Hombres;De 65 a 74 años;Defunciones;La Palma;73
1999;Hombres;De 65 a 74 años;Defunciones;La Gomera;7
1999;Hombres;De 65 a 74 años;Defunciones;Gran Canaria;760
1999;Hombres;De 65 a 74 años;Defunciones;Fuerteventura;21
1999;Hombres;De 65 a 74 años;Defunciones;El Hierro;14
1999;Hombres;De 65 a 74 años;Defunciones;Canarias;1559
1999;Hombres;De 5 a 14 años;Defunciones;Tenerife;9
1999;Hombres;De 5 a 14 años;Defunciones;Lanzarote;1
1999;Hombres;De 5 a 14 años;Defunciones;La Palma;0
1999;Hombres;De 5 a 14 años;Defunciones;La Gomera;1
1999;Hombres;De 5 a 14 años;Defunciones;Gran Canaria;10
1999;Hombres;De 5 a 14 años;Defunciones;Fuerteventura;0
1999;Hombres;De 5 a 14 años;Defunciones;El Hierro;0
1999;Hombres;De 5 a 14 años;Defunciones;Canarias;21
1999;Hombres;De 55 a 64 años;Defunciones;Tenerife;376
1999;Hombres;De 55 a 64 años;Defunciones;Lanzarote;51
1999;Hombres;De 55 a 64 años;Defunciones;La Palma;32
1999;Hombres;De 55 a 64 años;Defunciones;La Gomera;6
